id,name,description,ingredients,instructions,image,recommended_season,optimal_time_to_enjoy,price,is_alcoholic,prompt
d8a75c12-7f49-4b21-a22c-93a6e1e23c8a,"Tropical Sunrise","A refreshing non-alcoholic cocktail that combines tropical flavors with a citrusy twist.","120 ml orange juice, 60 ml pineapple juice, 30 ml cranberry juice, 15 ml grenadine syrup, Ice as needed, Orange slice and cherry for garnish","In a tall glass, add ice halfway. Gently pour in the orange juice. Follow with the pineapple juice. Slowly pour the cranberry juice over the back of a spoon to create a top layer. Add the grenadine syrup to create the 'sunrise' effect. Stir lightly before serving. Garnish with an orange slice and a cherry.","/images/d8a75c12-7f49-4b21-a22c-93a6e1e23c8a.jpg","summer","day",12,false,"IMAGE_TYPE: Drink photography | GENRE: Refreshing Beverage | EMOTION: Invigorating | SCENE: A vibrant scene featuring the 'Tropical Sunrise' non-alcoholic cocktail. The cocktail is presented in a tall, elegant glass, showcasing its layered structure. The bright orange, pineapple, and cranberry layers blend harmoniously, reminiscent of a tropical dawn. A subtle swirl of grenadine adds a touch of artistry, while ice glistens in the sunlight. The glass is garnished with an orange slice and a cherry, offering a hint of the delightful flavors within. The backdrop features a serene outdoor setting, with lush greenery and a hint of sunlight filtering through. | ACTORS: None | LOCATION TYPE: Outdoor patio | CAMERA MODEL: Nikon D850 | CAMERA LENS: 50mm f/1.8 | SPECIAL EFFECTS: Sunlight filtering through leaves | TAGS: non-alcoholic cocktail, layered drink, tropical flavors, outdoor refreshment | TIME_OF_DAY: Daytime | INTERACTION: None | --ar 4:3"
b3f20d9b-ff43-41c1-9b20-16b554c24d7e,"Sparkling Citrus Breeze","A delightful blend of citrus flavors with a fizzy kick, perfect for a hot summer day.","90 ml fresh orange juice, 60 ml sparkling lemonade, 30 ml cranberry juice, 10 ml fresh lime juice, Ice as needed, Citrus slices for garnish","In a tall glass, combine fresh orange juice, sparkling lemonade, cranberry juice, and fresh lime juice. Add ice to fill the glass. Stir gently to combine the flavors. Garnish with slices of citrus fruits. Serve immediately.","/images/b3f20d9b-ff43-41c1-9b20-16b554c24d7e.jpg","summer","day",12,false,"IMAGE_TYPE: Drink photography | GENRE: Refreshing Beverage | EMOTION: Invigorating | SCENE: A captivating presentation of the 'Sparkling Citrus Breeze' non-alcoholic cocktail. The drink, a blend of vibrant citrus flavors, is elegantly displayed in a tall glass. The sparkling lemonade creates effervescent bubbles that dance among the orange and cranberry juices. A slice of fresh lime adds a tangy twist, while ice cools the drink. The scene is set against a backdrop of sunny blue skies, invoking the essence of a relaxing summer day. | ACTORS: None | LOCATION TYPE: Outdoor patio | CAMERA MODEL: Canon EOS Rebel T7i | CAMERA LENS: 50mm f/1.8 | SPECIAL EFFECTS: Sunlight and bubbles | TAGS: citrus beverage, refreshing drink, summer quencher, outdoor enjoyment | TIME_OF_DAY: Daytime | INTERACTION: None | --ar 4:3"
87bf78d6-24a5-4b8b-9eb3-39ef4e916a4e,"Minty Cucumber Splash","A rejuvenating concoction of cucumber and mint, creating a crisp and cooling experience.","100 ml fresh cucumber juice, 10-12 fresh mint leaves, 30 ml lime juice, 15 ml simple syrup, Soda water, Ice as needed, Cucumber slices and mint sprigs for garnish","In a shaker, muddle fresh mint leaves. Add fresh cucumber juice, lime juice, and simple syrup. Fill the shaker with ice and shake well. Strain the mixture into a glass filled with ice. Top up with soda water. Garnish with cucumber slices and sprigs of mint. Stir gently before enjoying.","/images/87bf78d6-24a5-4b8b-9eb3-39ef4e916a4e.jpg","summer","day",12,false,"IMAGE_TYPE: Drink photography | GENRE: Refreshing Beverage | EMOTION: Revitalizing | SCENE: An invigorating scene showcasing the 'Minty Cucumber Splash' non-alcoholic cocktail. The drink is presented in a tall glass, filled with the refreshing blend of cucumber and mint. The vibrant green hues evoke a sense of coolness and relaxation. The glass glistens with condensation in the warm daylight. Cucumber slices and fresh mint sprigs adorn the rim, adding to the visual appeal. The backdrop features a tranquil outdoor setting, with lush green surroundings and dappled sunlight. | ACTORS: None | LOCATION TYPE: Garden patio | CAMERA MODEL: Sony Alpha a7 III | CAMERA LENS: 50mm f/1.8 | SPECIAL EFFECTS: Sunlit highlights | TAGS: cucumber-mint blend, revitalizing mocktail, garden relaxation, outdoor refreshment | TIME_OF_DAY: Daytime | INTERACTION: None | --ar 4:3"
3d7cb937-82d3-41b5-97fb-c97df684df85,Crisp Apple Fizz,"A delightful blend of fresh apple flavors with a fizzy twist, perfect for any occasion.","150 ml fresh apple juice, 30 ml sparkling water, 15 ml lemon juice, 10 ml honey or agave syrup, Ice as needed, Apple slice and mint sprig for garnish","In a glass, combine fresh apple juice, sparkling water, lemon juice, and honey or agave syrup. Add ice and stir gently to mix. Garnish with a slice of apple and a sprig of mint. Enjoy the refreshing and crisp flavors of the 'Crisp Apple Fizz' cocktail.","/images/3d7cb937-82d3-41b5-97fb-c97df684df85.jpg","fall","day",12,false,"IMAGE_TYPE: Drink photography | GENRE: Refreshing Beverage | EMOTION: Invigorating | SCENE: A lively scene featuring the 'Crisp Apple Fizz' non-alcoholic cocktail. The drink captures the essence of fall with its fresh apple flavors and effervescent sparkle. The glass is filled with the golden hue of apple juice, complemented by the subtle bubbles of sparkling water. A slice of apple and a sprig of mint lend a touch of elegance to the presentation. The scene is set against a backdrop of autumn leaves, creating a warm and inviting atmosphere. | ACTORS: None | LOCATION TYPE: Outdoor garden | CAMERA MODEL: Nikon Z6 | CAMERA LENS: 50mm f/1.8 | SPECIAL EFFECTS: Autumn foliage | TAGS: apple mocktail, fizzy blend, fall refreshment, outdoor enjoyment | TIME_OF_DAY: Anytime | INTERACTION: None | --ar 4:3"
a6e08dca-18a3-43b2-a3b0-7b73f202e76c,Blueberry Lemonade Fizz,"A burst of blueberry goodness combined with zesty lemonade and fizzy soda to quench your thirst.","100 ml blueberry juice, 50 ml fresh lemon juice, 20 ml simple syrup, Soda water, Ice as needed, Fresh blueberries and lemon slice for garnish","In a glass, mix blueberry juice, fresh lemon juice, and simple syrup. Add ice and stir gently to combine. Top up with soda water for a fizzy lift. Garnish with fresh blueberries and a lemon slice. Sip and enjoy the delightful 'Blueberry Lemonade Fizz' cocktail.","/images/a6e08dca-18a3-43b2-a3b0-7b73f202e76c.jpg","summer","day",12,false,"IMAGE_TYPE: Drink photography | GENRE: Refreshing Beverage | EMOTION: Invigorating | SCENE: A refreshing scene featuring the 'Blueberry Lemonade Fizz' non-alcoholic cocktail. The drink boasts a beautiful blend of blueberry juice and zesty lemonade, creating a harmonious balance of flavors. The glass is filled with the vibrant blue hue of the beverage, accentuated by the effervescence of soda water. Fresh blueberries and a lemon slice garnish the glass, inviting a delightful sip. The backdrop features a sunny outdoor setting, with a hint of greenery and the blue sky above. | ACTORS: None | LOCATION TYPE: Outdoor patio | CAMERA MODEL: Canon EOS 6D Mark II | CAMERA LENS: 50mm f/1.8 | SPECIAL EFFECTS: Sunlight and bubbles | TAGS: blueberry lemonade, fruity mocktail, summer quencher, outdoor enjoyment | TIME_OF_DAY: Daytime | INTERACTION: None | --ar 4:3"
28d4b3f1-50de-43d2-bab1-8b98985c9969,Classic Mojito,"A refreshing and timeless cocktail that combines the zesty flavors of lime and mint with the kick of rum.","50 ml white rum, 30 ml fresh lime juice, 15 ml simple syrup, 8-10 fresh mint leaves, Soda water, Ice as needed, Lime wedge and mint sprig for garnish","In a glass, muddle fresh mint leaves and simple syrup. Add rum and fresh lime juice. Fill the glass with ice and top up with soda water. Gently stir to combine. Garnish with a lime wedge and a sprig of mint. Savor the classic 'Mojito' cocktail.","/images/28d4b3f1-50de-43d2-bab1-8b98985c9969.jpg","summer","evening",18,true,"IMAGE_TYPE: Drink photography | GENRE: Classic Cocktail | EMOTION: Refreshing | SCENE: A timeless scene featuring the 'Classic Mojito' cocktail. The drink embodies the perfect balance of flavors with its blend of white rum, fresh lime juice, and invigorating mint leaves. The glass is garnished with a lime wedge and a sprig of mint, adding to its visual appeal. The backdrop features a sophisticated bar setting with dimmed lighting, creating an ambiance of relaxation and enjoyment. | ACTORS: Bartender | LOCATION TYPE: Bar | CAMERA MODEL: Canon EOS 5D Mark III | CAMERA LENS: 50mm f/1.8 | SPECIAL EFFECTS: Dimmed bar lights | TAGS: mojito, classic cocktail, lime and mint, bar scene | TIME_OF_DAY: Evening | INTERACTION: None | --ar 4:3"
df45265d-3c97-4e22-9b28-dfe286a29a94,Spicy Margarita,"An intriguing twist on the classic Margarita, featuring a spicy kick of chili and the tang of tequila.","60 ml tequila, 30 ml fresh lime juice, 15 ml triple sec, 10 ml agave syrup, 2 slices of fresh chili pepper, Salt and chili powder for rimming, Ice as needed, Lime wheel for garnish","In a shaker, muddle slices of fresh chili pepper. Add tequila, fresh lime juice, triple sec, and agave syrup. Fill the shaker with ice and shake well. Strain into a glass rimmed with a mixture of salt and chili powder. Add ice and garnish with a lime wheel. Enjoy the spicy allure of the 'Spicy Margarita' cocktail.","/images/df45265d-3c97-4e22-9b28-dfe286a29a94.jpg","summer","evening",18,true,"IMAGE_TYPE: Drink photography | GENRE: Contemporary Cocktail | EMOTION: Exciting | SCENE: An alluring scene featuring the 'Spicy Margarita' cocktail. The drink adds a unique twist to the classic Margarita by incorporating slices of fresh chili pepper for a bold and spicy flavor. The glass is elegantly rimmed with a mixture of salt and chili powder, hinting at the exciting taste experience. The backdrop features a modern cocktail bar, with a warm and inviting ambiance. Dimmed lights add to the intrigue of the scene. | ACTORS: Bartender, Patrons | LOCATION TYPE: Cocktail Bar | CAMERA MODEL: Nikon Z7 | CAMERA LENS: 50mm f/1.8 | SPECIAL EFFECTS: Warm bar lights | TAGS: margarita variation, spicy cocktail, contemporary bar, vibrant atmosphere | TIME_OF_DAY: Evening | INTERACTION: None | --ar 4:3"
7e97731a-9f6e-42b0-bf20-8305f642f82f,Bloody Mary,"A classic brunch cocktail with a zesty tomato base, vodka, and a blend of savory spices.","50 ml vodka, 120 ml tomato juice, 15 ml fresh lemon juice, 1 dash Worcestershire sauce, 1 dash hot sauce, Salt and pepper to taste, Celery stick and lemon wedge for garnish","In a shaker, combine vodka, tomato juice, fresh lemon juice, Worcestershire sauce, and hot sauce. Add a pinch of salt and pepper. Fill the shaker with ice and shake well. Strain into a glass filled with ice. Garnish with a celery stick and a lemon wedge. Enjoy the classic 'Bloody Mary' cocktail.","/images/7e97731a-9f6e-42b0-bf20-8305f642f82f.jpg","spring","brunch",18,true,"IMAGE_TYPE: Drink photography | GENRE: Classic Cocktail | EMOTION: Savory | SCENE: A classic scene featuring the 'Bloody Mary' cocktail. The drink, a beloved brunch companion, is presented with its distinctive red hue and savory flavors. The glass is garnished with a celery stick and a lemon wedge, adding to its traditional presentation. The backdrop features a cozy brunch setting, with a rustic wooden table and soft morning light. The scene exudes comfort and relaxation. | ACTORS: None | LOCATION TYPE: Brunch spot | CAMERA MODEL: Canon EOS 5D Mark IV | CAMERA LENS: 50mm f/1.8 | SPECIAL EFFECTS: Soft morning light | TAGS: bloody mary, brunch cocktail, tomato base, cozy morning | TIME_OF_DAY: Morning | INTERACTION: None | --ar 4:3"
a9866e1c-534f-4fe2-9a2f-ae3c7a74b1f3,Cosmopolitan,"A chic and elegant cocktail that harmoniously blends vodka, cranberry juice, triple sec, and a touch of citrus.","45 ml vodka, 30 ml cranberry juice, 15 ml triple sec, 15 ml fresh lime juice, Lime twist for garnish","In a shaker, combine vodka, cranberry juice, triple sec, and fresh lime juice. Fill the shaker with ice and shake until well chilled. Strain into a chilled martini glass. Garnish with a twist of lime. Sip and savor the sophistication of the 'Cosmopolitan' cocktail.","/images/a9866e1c-534f-4fe2-9a2f-ae3c7a74b1f3.jpg","spring","evening",18,true,"IMAGE_TYPE: Drink photography | GENRE: Classic Cocktail | EMOTION: Sophisticated | SCENE: An elegant scene featuring the 'Cosmopolitan' cocktail. The drink, a symbol of sophistication, is presented in a classic martini glass with its pink hue and citrusy aroma. A twist of lime adds a touch of visual appeal. The backdrop features a chic cocktail lounge with a stylish and refined atmosphere. Dimmed lights and a hint of glamour complete the scene. | ACTORS: Patrons, Bartender | LOCATION TYPE: Cocktail Lounge | CAMERA MODEL: Sony Alpha a7R III | CAMERA LENS: 50mm f/1.8 | SPECIAL EFFECTS: Dimmed lounge lights | TAGS: cosmopolitan, chic cocktail, cocktail lounge, elegance | TIME_OF_DAY: Evening | INTERACTION: None | --ar 4:3"
c4183941-1076-40c5-84f7-6dd738b5d926,Old Fashioned,"A classic cocktail that brings together bourbon, sugar, bitters, and a twist of orange for a timeless flavor.","60 ml bourbon, 1 sugar cube, 2 dashes Angostura bitters, Orange twist for garnish, Ice as needed","In a glass, muddle the sugar cube with a few drops of water. Add Angostura bitters and bourbon. Fill the glass with ice and stir gently to mix. Express the oils from an orange twist over the glass, then drop it in. Enjoy the nostalgic charm of the 'Old Fashioned' cocktail.","/images/c4183941-1076-40c5-84f7-6dd738b5d926.jpg","fall","evening",18,true,"IMAGE_TYPE: Drink photography | GENRE: Classic Cocktail | EMOTION: Nostalgic | SCENE: A vintage scene featuring the 'Old Fashioned' cocktail. The drink, a timeless classic, exudes a sense of nostalgia with its combination of bourbon, sugar, and bitters. The glass is garnished with an orange twist, adding a burst of citrus aroma. The backdrop features a cozy corner of a vintage lounge, creating an ambiance reminiscent of bygone eras. | ACTORS: None | LOCATION TYPE: Vintage Lounge | CAMERA MODEL: Nikon D750 | CAMERA LENS: 50mm f/1.8 | SPECIAL EFFECTS: Warm vintage lighting | TAGS: old fashioned, classic cocktail, vintage lounge, nostalgic atmosphere | TIME_OF_DAY: Evening | INTERACTION: None | --ar 4:3"
2d4f5b26-0629-4e19-b662-6ad1e7ecfc6d,Mai Tai,"A tropical delight that combines the flavors of rum, citrus, and almond.","45 ml white rum, 30 ml dark rum, 30 ml fresh lime juice, 15 ml orange curaçao, 15 ml orgeat syrup, Ice as needed, Pineapple wedge and cherry for garnish","In a shaker, combine white rum, fresh lime juice, orange curaçao, and orgeat syrup. Fill the shaker with ice and shake well. Strain into a glass filled with ice. Float dark rum on top by pouring it gently over the back of a spoon. Garnish with a pineapple wedge and a cherry. Enjoy the tropical goodness of the 'Mai Tai' cocktail.","/images/2d4f5b26-0629-4e19-b662-6ad1e7ecfc6d.jpg","summer","evening",18,true,"IMAGE_TYPE: Drink photography | GENRE: Tropical Cocktail | EMOTION: Exotic | SCENE: A tropical oasis featuring the 'Mai Tai' cocktail. The drink transports you to a faraway beach with its blend of rums, citrus, and almond flavors. The glass is adorned with a pineapple wedge and a cherry, capturing the essence of a tropical escape. The backdrop features a sunset-lit beach with swaying palm trees and the soothing sound of waves. | ACTORS: None | LOCATION TYPE: Beach resort | CAMERA MODEL: Canon EOS R | CAMERA LENS: 50mm f/1.8 | SPECIAL EFFECTS: Sunset glow | TAGS: mai tai, tropical cocktail, beach escape, exotic flavors | TIME_OF_DAY: Evening | INTERACTION: None | --ar 4:3"
